dimension,smoothness,bandwidth,decay_true,lag,exact_pseudo_decay,exact_decay_shift,leading_decay_shift,transition_pseudo_decay,transition_decay_shift,exact_to_leading_ratio,exact_to_transition_ratio,leading_relative_error,transition_relative_error,exact_variance_factor,transition_variance_factor,transition_variance_loss_relative_error,quadrature_order
2,0.975,0.02,1.0,1.0,0.9989181311530612,0.0010818688469388,0.0056201771122959,0.998918210989002,0.001081789010998,0.1924972870644782,1.0000737999184088,4.1948784071177245,7.379447238279136e-05,0.9991992522499954,0.9991993158071424,7.937224549108707e-05,96
2,0.975,0.05,1.0,1.0,0.9947990424717364,0.0052009575282636,0.0335531284078792,0.9948014679891384,0.0051985320108616,0.155006635001055,1.0004665773716446,5.451336744347709,0.0004663597787248,0.9961134558972804,0.9961154376881396,0.0005099108119753,96
2,1.0,0.01,1.0,1.0,0.999716858430168,0.0002831415698321,0.000263346730448,0.9997168636781172,0.0002831363218828,1.0751664520399835,1.0000185350620594,0.0699114559400223,1.8534718517173923e-05,0.999793996014924,0.9997940000899824,1.978145476822013e-05,96
2,1.0,0.02,1.0,1.0,0.9990256059137992,0.0009743940862008,0.0008948363915422,0.999025678610502,0.000974321389498,1.0889075314890193,1.000074612651998,0.0816483759345876,7.460708536533305e-05,0.999286846628164,0.9992869039088196,8.032024765391813e-05,96
2,1.0,0.05,1.0,1.0,0.9952091945485813,0.0047908054514187,0.0042827749446611,0.9952114592810032,0.0047885407189969,1.1186218078983774,1.000472948347883,0.1060428172066835,0.0004727247734822,0.9964576113764356,0.9964594401619968,0.0005162577445747,96
2,1.025,0.01,1.0,1.0,0.9997480887493768,0.0002519112506232,0.0011519392708652,0.9997480934758728,0.000251906524127,0.218684488839476,1.0000187628971136,3.5727980311125016,1.8762545073849457e-05,0.9998186814859552,0.9998186851203762,2.0044401513842292e-05,96
2,1.025,0.02,1.0,1.0,0.9991189964829263,0.0008810035170736,0.0046077570834611,0.9991190631096082,0.0008809368903918,0.1912000787185342,1.000075631617389,4.230123369729888,7.562589768044255e-05,0.999361960080648,0.9993620120161122,8.139845559073161e-05,96
2,1.025,0.05,1.0,1.0,0.9955762594563796,0.0044237405436204,0.0287984817716321,0.9955783846072704,0.0044216153927295,0.1536101999647109,1.0004806277123115,5.509984364513108,0.000480396820287,0.9967615535588272,0.9967632483840068,0.0005233451317158,96
2,1.05,0.01,1.0,1.0,0.9997747240061616,0.0002252759938383,0.0005797426651364,0.9997747282973336,0.0002252717026663,0.3885792910986613,1.0000190488726393,1.5734773388788166,1.9048509786590465e-05,0.9998394670949292,0.9998394703609134,2.0344640616648904e-05,96
2,1.05,0.02,1.0,1.0,0.9992003948477616,0.0007996051522384,0.0023189706605457,0.9992004563169488,0.0007995436830511,0.3448103789507323,1.0000768803363704,1.9001447202460324,7.687442623861668e-05,0.9994265845384868,0.9994266319115636,8.26156254868281e-05,96
